device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB),cupy memory (MB)
1,,2023-05-31 16:43:49,0,81920,73825,8095,820,0
1,,2023-05-31 16:43:50,0,81920,73825,8095,820,0
1,,2023-05-31 16:43:51,0,81920,73825,8095,820,0
1,,2023-05-31 16:43:52,0,81920,73825,8095,820,0
1,,2023-05-31 16:43:53,0,81920,73989,7931,820,0
1,,2023-05-31 16:43:54,0,81920,74355,7565,820,0
1,,2023-05-31 16:43:55,0,81920,74093,7827,820,0
1,,2023-05-31 16:43:56,0,81920,74257,7663,820,0
1,,2023-05-31 16:43:57,0,81920,73953,7967,820,0
1,,2023-05-31 16:43:58,0,81920,73953,7967,820,0
1,,2023-05-31 16:43:59,0,81920,73953,7967,820,0
1,,2023-05-31 16:44:00,0,81920,74355,7565,820,0
1,,2023-05-31 16:44:01,0,81920,74355,7565,820,0
1,,2023-05-31 16:44:02,0,81920,74355,7565,820,0
1,,2023-05-31 16:44:03,0,81920,74093,7827,820,0
1,,2023-05-31 16:44:04,0,81920,74093,7827,820,0
1,,2023-05-31 16:44:05,0,81920,74093,7827,820,0
1,,2023-05-31 16:44:06,0,81920,74257,7663,820,0
1,,2023-05-31 16:44:07,0,81920,74149,7771,820,0
1,,2023-05-31 16:44:08,0,81920,74149,7771,820,0
1,,2023-05-31 16:44:09,0,81920,74149,7771,820,0
1,,2023-05-31 16:44:10,0,81920,74353,7567,820,0
1,,2023-05-31 16:44:11,0,81920,74355,7565,820,0
1,,2023-05-31 16:44:12,0,81920,74093,7827,820,0
1,,2023-05-31 16:44:13,0,81920,73999,7921,820,0
1,,2023-05-31 16:44:14,0,81920,73287,8633,820,0
1,,2023-05-31 16:44:15,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:16,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:17,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:18,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:19,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:20,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:21,0,81920,73931,7989,820,0
1,,2023-05-31 16:44:22,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:23,0,81920,72703,9217,820,0
1,,2023-05-31 16:44:24,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:25,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:26,0,81920,73933,7987,820,0
1,,2023-05-31 16:44:27,0,81920,73673,8247,820,0
1,,2023-05-31 16:44:28,0,81920,73673,8247,820,0
1,,2023-05-31 16:44:29,0,81920,73673,8247,820,0
